Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
vs Arsenal,17.0,1.61
vs Aston Villa,21.53,2.26
vs Bournemouth,23.11,2.21
vs Brentford,30.32,2.53
vs Brighton,19.63,2.55
vs Chelsea,18.37,1.92
vs Crystal Palace,22.37,2.21
vs Everton,22.26,1.95
vs Fulham,19.89,2.37
vs Ipswich Town,28.42,3.74
vs Leicester City,29.89,3.53
vs Liverpool,17.34,1.74
vs Manchester City,16.47,2.0
vs Manchester Utd,18.79,2.26
vs Newcastle Utd,21.89,2.08
vs Nott'ham Forest,24.76,2.11
vs Southampton,31.76,3.79
vs Tottenham,23.76,2.89
vs West Ham,27.39,2.61
vs Wolves,21.89,3.08
