Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Possession,Progressive_Passes_Received_Per90,Possession_Against,Progressive_Passes_Received_Per90_Against,Shots_Per_90,Shots_On_Target_Per_90,Sh/90_Against,SoT/90_Against,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90,SCA90_Against,GCA90_Against
1,Manchester City,38,27,5,6,83,32,51,86,2.26,68.2,30.2,38.0,1.0,63.5,53.5,36.1,22.11,15.53,5.55,7.18,2.37,28.08,3.71,12.87,1.42
2,Manchester Utd,38,21,11,6,73,44,29,74,1.95,60.1,41.4,18.6,0.49,55.7,47.82,44.2,32.11,13.55,5.16,11.16,3.61,25.08,3.34,19.63,1.76
3,Liverpool,38,20,9,9,68,42,26,69,1.82,67.5,43.0,24.5,0.65,62.1,53.71,37.6,25.05,15.84,5.37,8.53,3.55,28.11,2.89,15.29,1.95
4,Chelsea,38,19,10,9,58,36,22,67,1.76,62.4,30.3,32.1,0.85,60.9,47.03,38.6,27.76,14.37,5.08,8.74,2.71,26.79,2.5,15.45,1.47
5,Leicester City,38,20,6,12,68,50,18,66,1.74,55.8,46.0,9.8,0.26,54.3,38.29,45.4,32.55,12.45,4.47,9.63,3.47,22.71,3.0,17.32,2.16
6,West Ham,38,19,8,11,62,47,15,65,1.71,55.4,48.7,6.7,0.18,43.2,33.26,57.1,44.18,12.21,4.16,12.08,3.76,21.66,2.79,21.74,2.03
7,Tottenham,38,18,8,12,68,45,23,62,1.63,53.1,49.1,4.0,0.1,51.6,34.63,48.3,39.45,11.53,4.39,12.53,3.82,20.68,3.16,23.39,2.0
8,Arsenal,38,18,7,13,55,39,16,61,1.61,51.7,43.0,8.8,0.23,53.5,46.0,46.2,30.66,11.92,3.68,10.84,3.32,21.39,2.5,18.71,1.55
9,Leeds United,38,18,5,15,62,54,8,59,1.55,55.6,57.9,-2.2,-0.06,57.3,42.76,42.4,31.26,13.63,5.08,14.45,4.97,24.32,2.84,25.03,2.26
10,Everton,38,17,8,13,47,48,-1,59,1.55,45.7,50.1,-4.5,-0.12,46.4,30.97,53.5,43.45,10.39,3.76,13.18,4.16,18.68,2.11,23.45,2.24
11,Aston Villa,38,16,7,15,55,46,9,55,1.45,52.5,51.1,1.5,0.04,48.5,36.92,51.9,40.37,13.53,4.68,14.0,4.74,24.74,2.47,24.68,2.05
12,Newcastle Utd,38,12,9,17,46,62,-16,45,1.18,43.4,58.3,-14.9,-0.39,38.8,23.37,61.8,46.21,10.26,3.42,14.92,4.82,18.11,1.97,27.13,2.84
13,Wolves,38,12,9,17,36,52,-16,45,1.18,36.5,49.5,-13.0,-0.34,49.3,33.32,50.7,40.95,12.08,3.92,11.42,3.79,21.61,1.66,20.47,2.32
14,Crystal Palace,38,12,8,18,41,66,-25,44,1.16,34.1,58.2,-24.2,-0.64,40.6,29.29,59.9,47.32,9.08,3.34,14.08,4.47,16.26,1.84,25.08,2.92
15,Southampton,38,12,7,19,47,68,-21,43,1.13,41.2,53.1,-11.8,-0.31,52.0,31.32,47.8,36.55,11.0,4.13,11.03,4.45,19.16,2.18,20.18,3.08
16,Brighton,38,9,14,15,40,46,-6,41,1.08,50.9,35.3,15.6,0.41,51.1,39.34,48.7,33.95,12.58,3.53,9.24,3.13,22.29,1.66,16.45,2.0
17,Burnley,38,10,9,19,33,55,-22,39,1.03,39.3,54.7,-15.4,-0.4,42.1,26.37,58.3,43.61,10.03,3.26,14.92,4.63,17.53,1.37,27.0,2.66
18,Fulham,38,5,13,20,27,53,-26,28,0.74,40.5,52.6,-12.1,-0.32,49.7,35.21,50.1,34.66,11.47,3.29,11.08,4.29,20.66,1.24,19.76,2.39
19,West Brom,38,5,11,22,35,76,-41,26,0.68,35.8,67.9,-32.0,-0.84,37.9,26.76,62.4,46.79,8.82,2.79,15.47,6.11,14.95,1.39,28.26,3.47
20,Sheffield Utd,38,7,2,29,20,63,-43,23,0.61,32.6,62.2,-29.6,-0.78,41.7,31.13,58.5,42.03,8.39,2.42,14.18,5.34,14.92,0.71,25.82,2.76
