Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
vs Arsenal,14.97,1.74
vs Aston Villa,19.92,1.95
vs Bournemouth,28.68,3.0
vs Brentford,26.29,2.0
vs Brighton,17.71,2.16
vs Chelsea,19.76,1.84
vs Crystal Palace,20.95,2.13
vs Everton,26.76,2.61
vs Fulham,23.11,2.29
vs Leeds United,24.24,3.68
vs Leicester City,25.95,2.79
vs Liverpool,17.24,2.05
vs Manchester City,13.0,1.34
vs Manchester Utd,21.68,1.79
vs Newcastle Utd,17.84,1.39
vs Nott'ham Forest,26.32,3.16
vs Southampton,24.21,3.18
vs Tottenham,23.82,2.92
vs West Ham,23.42,2.63
vs Wolves,25.24,2.58
