Squad,Shots_Per_90,Shots_On_Target_Per_90
vs Arsenal,7.0,1.92
vs Aston Villa,12.42,2.92
vs Bournemouth,11.17,4.5
vs Brentford,12.17,3.5
vs Brighton,10.33,3.25
vs Burnley,17.0,5.5
vs Chelsea,9.33,2.58
vs Crystal Palace,10.58,2.83
vs Everton,13.92,3.83
vs Fulham,10.42,4.0
vs Leeds United,10.67,3.75
vs Liverpool,11.42,4.0
vs Manchester City,9.08,3.08
vs Manchester Utd,10.83,3.83
vs Newcastle Utd,11.08,4.42
vs Nott'ham Forest,13.58,4.75
vs Sunderland,14.08,4.33
vs Tottenham,12.08,4.33
vs West Ham,15.58,5.33
vs Wolves,13.0,4.67
