Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
vs Arsenal,12.83,0.92
vs Aston Villa,22.17,1.5
vs Bournemouth,20.0,2.92
vs Brentford,21.33,2.58
vs Brighton,19.67,2.08
vs Burnley,30.67,3.0
vs Chelsea,15.17,1.5
vs Crystal Palace,18.5,1.42
vs Everton,23.83,1.92
vs Fulham,17.67,1.75
vs Leeds United,19.5,3.42
vs Liverpool,20.17,3.0
vs Manchester City,15.33,1.42
vs Manchester Utd,18.92,2.67
vs Newcastle Utd,19.25,1.92
vs Nott'ham Forest,23.67,2.58
vs Sunderland,24.67,1.75
vs Tottenham,21.25,1.83
vs West Ham,27.83,3.5
vs Wolves,22.42,3.67
